year,state,smoking,disability_65,self_rated_health,drinking,leisure_phys_act,overweight,poverty,diabetes,sleep,mental_health
2016,MD,13.7,31.3,14.4,5.3,23.1,64.6,9.7,10.8,62.1,3.4
2016,ME,19.8,33.4,16.4,8.6,20.6,65.2,12.5,10.6,65.3,4.1
2016,MI,20.4,34.8,18,6.9,23.9,67.5,15,11.2,60.8,4.3
2016,MN,15.2,31.3,12.7,7.5,18,64.8,9.9,8.4,67.9,3.1
2016,MO,22.1,36.7,19,7.1,24.9,67.3,14,11.5,64.1,4.2
2016,MS,22.7,40.9,23.2,4.7,30.3,71.3,20.8,13.6,62.1,4.3
2016,MT,18.5,34.5,15.6,7.1,19.9,62.7,13.3,8.1,70.4,3.4
2016,NC,17.9,35.8,18.3,6.6,23.3,66.8,15.4,11.3,64.4,3.8
2016,ND,19.8,34.2,14.8,7.5,22.2,68.1,10.7,8.6,68.7,3.1
2016,NE,17,34.5,14.7,6.6,22.4,68.5,11.4,8.8,67.9,3.2
2016,NH,18,31,14.1,8,19.3,63.5,7.3,9,64.7,4
2016,NJ,14,32.1,17.5,4.4,29.8,63.8,10.4,9.2,60.2,3.4
2016,NM,16.6,40.2,21.7,5.5,20.3,64.9,19.8,11.6,65.7,3.9
2016,NV,16.5,35.1,20.9,6.3,24.7,62.3,13.8,11.1,60.2,4.4
2016,NY,14.2,32.9,16.9,5.9,26.3,60.8,14.7,10.5,61.3,3.5
2016,OH,22.5,35.3,18,6.4,25.9,66.3,14.6,11.1,60.3,4.1
2016,OK,19.6,42.1,20.1,3.7,28.5,68.8,16.3,12,63.1,4.4
2016,OR,16.2,37.4,16.4,7.7,17.3,62.6,13.3,9.5,66.8,4.3
2016,PA,18,34.6,16.6,6.8,22.9,65.4,12.9,11.3,60.5,4.2
2016,PR,10.6,48.1,34.3,4.7,41.7,66.5,43.5,15.3,61.1,3.8
2016,RI,14.4,31.6,15.6,5.9,24.4,63.7,12.8,9.8,62.2,4.2
2016,SC,20,36.2,20,6.8,26.9,67.4,15.3,13,60.8,4.3
2016,SD,18.1,33.7,13,5.4,18.9,66.9,13.3,7.9,71.7,2.8
